playerName,sal,pos,team,opp,proj
LeBron JamesJames,11400,SF,LAL,LAC,52.12459176
Anthony DavisDavis,10400,PF,LAL,LAC,51.92321341
Kawhi LeonardLeonard,9500,SF,LAC,LAL,47.63461538
Jrue HolidayHoliday,8300,SG,NO,UTA,39.54643032
Rudy GobertGobert,8200,C,UTA,NO,40.10634843
Lonzo BallBall,7900,PG,NO,UTA,32.60701712
Paul GeorgeGeorge,7400,SG,LAC,LAL,36.3619036
Brandon IngramIngram,7300,SF,NO,UTA,38.81379226
Donovan MitchellMitchell,7200,SG,UTA,NO,36.09538386
Zion WilliamsonWilliamson,7100,PF,NO,UTA,33.48571487
Mike ConleyConley,5700,PG,UTA,NO,24.34761847
Joe InglesIngles,5500,SF,UTA,NO,23.46406174
Derrick FavorsFavors,5400,C,NO,UTA,26.4673913
Royce O'NealeO'Neale,4900,PF,UTA,NO,18.8661546
Kyle KuzmaKuzma,4700,PF,LAL,LAC,20.53518564
Ivica ZubacZubac,4500,C,LAC,LAL,20.83906174
JaVale McGeeMcGee,4400,C,LAL,LAC,19.86557457
Josh HartHart,4400,SG,NO,UTA,23.49122807
Jordan ClarksonClarkson,4300,SG,UTA,NO,22.70476229
Marcus MorrisMorris,4200,PF,LAC,LAL,27.75818093
Danny GreenGreen,4100,SG,LAL,LAC,18.65901559
Nicolo MelliMelli,4100,PF,NO,UTA,14.33773631
JR SmithSmith,4000,SG,LAL,LAC,14.37272783
JJ RedickRedick,4000,SG,NO,UTA,21.37037037
Jaxson HayesHayes,3900,C,NO,UTA,16.98392814
Dwight HowardHoward,3900,C,LAL,LAC,21.21612943
Joakim NoahNoah,3800,C,LAC,LAL,19.52618989
Avery BradleyBradley,3800,SG,LAL,LAC,15.35714286
Tony BradleyBradley,3800,C,UTA,NO,11.87647083
Kenrich WilliamsWilliams,3800,SF,NO,UTA,15.48857073
Reggie JacksonJackson,3800,PG,LAC,LAL,23.08260976
Dion WaitersWaiters,3800,SF,LAL,LAC,16.23333359
Kentavious Caldwell-PopeCaldwell-Pope,3700,SG,LAL,LAC,16.82380991
JaMychal GreenGreen,3600,PF,LAC,LAL,16.87454501
Markieff MorrisMorris,3600,SF,LAL,LAC,17.84230746
Rodney McGruderMcGruder,3500,SG,LAC,LAL,8.592000122
Talen Horton-TuckerHorton-Tucker,3500,SG,LAL,LAC,3
Amir CoffeyCoffey,3500,PF,LAC,LAL,4.715384557
Nigel Williams-GossWilliams-Goss,3500,PG,UTA,NO,2.388888889
Josh GrayGray,3500,PG,NO,UTA,1.200000048
Darius MillerMiller,3500,SF,NO,UTA,15.50144892
Mfiondu KabengeleKabengele,3500,SF,LAC,LAL,5.683333079
Emmanuel MudiayMudiay,3500,PG,UTA,NO,13.98958333
Nickeil Alexander-WalkerAlexander-Walker,3500,SG,NO,UTA,10.72380938
Juwan MorganMorgan,3500,PF,UTA,NO,2.799999952
Alex CarusoCaruso,3500,PG,LAL,LAC,13.59310387
Patrick PattersonPatterson,3500,PF,LAC,LAL,8.523529651
Devontae CacokCacok,3500,PF,LAL,LAC,0
Zylan CheathamCheatham,3500,PF,NO,UTA,4.73333327
Frank JacksonJackson,3500,PG,NO,UTA,8.739215926
Jared DudleyDudley,3500,SF,LAL,LAC,4.427500153
Ed DavisDavis,3500,PF,UTA,NO,8.12
Rayjon TuckerTucker,3500,PG,UTA,NO,2.685714177
E'Twaun MooreMoore,3500,SF,NO,UTA,15.09999952
Quinn CookCook,3500,PG,LAL,LAC,7.947368421
Jahlil OkaforOkafor,3500,C,NO,UTA,16.17142814
Jarrell BrantleyBrantley,3500,SF,UTA,NO,2.3
Terance MannMann,3500,SG,LAC,LAL,5.074285889
Georges NiangNiang,3500,PF,UTA,NO,9.436206686
Kostas AntetokounmpoAntetokounmpo,3500,PF,LAL,LAC,0.900000016
Sindarius ThornwellThornwell,3500,SG,NO,UTA,2.887500048
Landry ShametShamet,3500,PG,LAC,LAL,15.75531915
Miye OniOni,3500,SG,UTA,NO,0.279999995
Justin Wright-ForemanWright-Foreman,3500,PG,UTA,NO,0
Johnathan MotleyMotley,3500,PF,LAC,LAL,4.307692308
